saps,fecha,servicio,turno,consulta_cantidad,rango_etario,sexo,detalle
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,3,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,4,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,6,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,2,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,2,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,4,15 - 19 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1,15 - 19 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,8,20-39 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,8,20-39 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,5,40-69 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,3,40-69 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,5 - 14 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,15 - 19 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,6,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,4,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,3,40-69 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,4,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,2,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,5,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,5,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,1,40-69 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,1,1 - 4 ANIOS,F,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,2,1 - 4 ANIOS,M,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,3,5 - 14 ANIOS,F,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,7,5 - 14 ANIOS,M,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,1,15 - 19 ANIOS,M,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,4,20-39 ANIOS,F,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,2,20-39 ANIOS,M,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,3,40-69 ANIOS,F,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,1,40-69 ANIOS,M,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,1,>=70 ANIOS,M,URGENCIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,1,5 - 14 ANIOS,F,EXTRACCION DENTARIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,4,15 - 19 ANIOS,M,EXTRACCION DENTARIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,2,20-39 ANIOS,F,EXTRACCION DENTARIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,3,20-39 ANIOS,M,EXTRACCION DENTARIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,2,40-69 ANIOS,F,EXTRACCION DENTARIA
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,4,40-69 ANIOS,M,EXTRACCION DENTARIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,8,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,M,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,5,5 - 14 ANIOS,F,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,13,5 - 14 ANIOS,M,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,M,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,14,20-39 ANIOS,F,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,F,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,M,URGENCIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,3,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,3,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,EXTRACCION DENTARIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,9,20-39 ANIOS,F,EXTRACCION DENTARIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,5,20-39 ANIOS,M,EXTRACCION DENTARIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,F,EXTRACCION DENTARIA
DR. PIRCHI,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,M,EXTRACCION DENTARIA
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,3,20-39 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,5 - 14 ANIOS,M,URGENCIA
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,15 - 19 ANIOS,M,URGENCIA
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,20-39 ANIOS,F,URGENCIA
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,20-39 ANIOS,M,URGENCIA
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,40-69 ANIOS,F,URGENCIA
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,5 - 14 ANIOS,M,DERIVACION
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,3,5 - 14 ANIOS,F,INACTIVACION DE CARIES
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,20-39 ANIOS,F,INACTIVACION DE CARIES
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,6,5 - 14 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,5 - 14 ANIOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,5 - 14 ANIOS,F,SELLANTES DE PUNTos FISURAS
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,7,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,4,5 - 14 ANIOS,F,EXTRACCION DENTARIA
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2,40-69 ANIOS,F,EXTRACCION DENTARIA
GÜEMES,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,20-39 ANIOS,F,RADIOGRAFIA PERIAPICAL
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,3,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,6,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,5,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,>=70 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,F,URGENCIA
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,URGENCIA
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,URGENCIA
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,M,TARTREC Y CEPILLADO MECAniCO
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,RADIOGRAFIA PERIAPICAL
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,M,RADIOGRAFIA PERIAPICAL
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,F,RADIOGRAFIA PERIAPICAL
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,>=70 ANIOS,F,RADIOGRAFIA PERIAPICAL
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,F,EXTRACCION DENTARIA
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,EXTRACCION DENTARIA
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,F,EXTRACCION DENTARIA
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,3,40-69 ANIOS,M,EXTRACCION DENTARIA
VILLA GARCIA,2020-10-01,ODONTOLOGIA,MANANA,1,>=70 ANIOS,F,EXTRACCION DENTARIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,6,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,2,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,1,5 - 14 ANIOS,M,EXTRACCION DENTARIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,5,15 - 19 ANIOS,F,EXTRACCION DENTARIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,2,15 - 19 ANIOS,M,EXTRACCION DENTARIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,5,20-39 ANIOS,F,EXTRACCION DENTARIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,6,20-39 ANIOS,M,EXTRACCION DENTARIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,4,40-69 ANIOS,F,EXTRACCION DENTARIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,3,40-69 ANIOS,M,EXTRACCION DENTARIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,2,1 - 4 ANIOS,M,URGENCIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,9,5 - 14 ANIOS,F,URGENCIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,3,5 - 14 ANIOS,M,URGENCIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,6,15 - 19 ANIOS,F,URGENCIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,5,15 - 19 ANIOS,M,URGENCIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,8,20-39 ANIOS,F,URGENCIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,5,20-39 ANIOS,M,URGENCIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,4,40-69 ANIOS,F,URGENCIA
ESPERANZA,2020-10-01,ODONTOLOGIA,TARDE,7,40-69 ANIOS,M,URGENCIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,3,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,8,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,5,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,M,EXTRACCION DENTARIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,3,1 - 4 ANIOS,F,URGENCIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,URGENCIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,URGENCIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,URGENCIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,5,20-39 ANIOS,F,URGENCIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,M,URGENCIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,URGENCIA
PRIMERA JUNTA,2020-10-01,ODONTOLOGIA,MANANA,2,40-69 ANIOS,M,URGENCIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,5,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,5 - 14 ANIOS,M,URGENCIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,15 - 19 ANIOS,F,URGENCIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,15 - 19 ANIOS,M,URGENCIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,6,20-39 ANIOS,F,URGENCIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,20-39 ANIOS,M,URGENCIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,40-69 ANIOS,F,URGENCIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,5,40-69 ANIOS,M,URGENCIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,15 - 19 ANIOS,M,EXTRACCION DENTARIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,20-39 ANIOS,F,EXTRACCION DENTARIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,20-39 ANIOS,M,EXTRACCION DENTARIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,3,40-69 ANIOS,F,EXTRACCION DENTARIA
DR. GUILLERMO RAWSON,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1,40-69 ANIOS,M,EXTRACCION DENTARIA
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,URGENCIA
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,URGENCIA
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,URGENCIA
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,F,URGENCIA
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,6,20-39 ANIOS,M,URGENCIA
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,URGENCIA
DR. KORIMBLUM,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,M,URGENCIA
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1,15 - 19 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,3,5 - 14 ANIOS,F,URGENCIA
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,4,5 - 14 ANIOS,M,URGENCIA
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,F,URGENCIA
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,6,20-39 ANIOS,F,URGENCIA
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,URGENCIA
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,TALLER DE PROMOCION Y PREVENCION
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,4,15 - 19 ANIOS,F,TALLER DE PROMOCION Y PREVENCION
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,TALLER DE PROMOCION Y PREVENCION
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,3,15 - 19 ANIOS,F,URGENCIA
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,1,15 - 19 ANIOS,M,URGENCIA
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,9,20-39 ANIOS,F,URGENCIA
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,6,20-39 ANIOS,M,URGENCIA
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,2,40-69 ANIOS,M,URGENCIA
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,4,1 - 4 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,2,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,8,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. MANUEL CASSUSO,2020-10-01,ODONTOLOGIA,TARDE,1,5 - 14 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,MANANA,4,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,MANANA,1,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,MANANA,5,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ALBERTO LIFSCHITZ,2020-10-10,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,MANANA,4,5 - 14 ANIOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,MANANA,3,5 - 14 ANIOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ANIBAL MALVIDO,2020-11-01,ODONTOLOGIA,MANANA,1,1 - 4 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ANIBAL MALVIDO,2020-11-01,ODONTOLOGIA,MANANA,2,5 - 14 ANIOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ANIBAL MALVIDO,2020-11-01,ODONTOLOGIA,MANANA,1,5 - 14 ANIOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ANIBAL MALVIDO,2020-11-01,ODONTOLOGIA,MANANA,2,15 - 19 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-11-01,ODONTOLOGIA,MANANA,3,20-39 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-11-01,ODONTOLOGIA,MANANA,2,20-39 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-11-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ANIBAL MALVIDO,2020-11-01,ODONTOLOGIA,MANANA,1,40-69 ANIOS,M,CONSULTA-ADULTO (Desde 15 anios)
